core,thread,PC,instruction_hex,mnemonic,reg,reg_val,mem_addr,mem_val
0,3,2147484284,8619619,"beq t2, s0, pc + 12",0,0,0,0
0,3,2147484288,1048577555,"li a2, 1000",12,1000,0,0
0,3,2147484292,8388719,"j pc + 0x8",0,0,0,0
0,3,2147484300,32871,"ret",0,0,0,0
0,3,2147483680,654311663,"jal pc + 0x270",1,2147483684,0,0
0,3,2147484304,2068371,"addi t6, t6, 1",31,7,0,0
0,3,2147484308,134218387,"li t0, 128",5,128,0,0
0,3,2147484312,4195091,"li t1, 4",6,4,0,0
0,3,2147484316,4286579603,"li t2, -8",7,4294967288,0,0
0,3,2147484320,2266387,"slli a0, t0, 2",10,512,0,0
0,3,2147484324,4363667,"slli a1, t0, 4",11,2048,0,0
0,3,2147484328,2283027,"srli a2, t0, 2",12,32,0,0
0,3,2147484332,4380307,"srli a3, t0, 4",13,8,0,0
0,3,2147484336,1075042067,"srai a4, t2, 1",14,4294967292,0,0
0,3,2147484340,1076025235,"srai a5, t0, 2",15,32,0,0
0,3,2147484344,6461491,"sll a6, t0, t1",16,2048,0,0
0,3,2147484348,6478003,"srl a7, t0, t1",17,8,0,0
0,3,2147484352,1080285491,"sra s2, t2, t1",18,4294967295,0,0
0,3,2147484356,536873363,"li s3, 512",19,512,0,0
0,3,2147484360,20256867,"bne a0, s3, pc + 16",0,0,0,0
0,3,2147484364,33556883,"li s3, 32",19,32,0,0
0,3,2147484368,20321379,"bne a2, s3, pc + 8",0,0,0,0
0,3,2147484372,8388719,"j pc + 0x8",0,0,0,0
0,3,2147484380,32871,"ret",0,0,0,0
0,3,2147483684,734003439,"jal pc + 0x2bc",1,2147483688,0,0
0,3,2147484384,7343763,"li t4, 7",29,7,0,0
0,3,2147484388,31430755,"bne t6, t4, pc + 16",0,0,0,0
0,3,2147484392,988771,"bnez t5, pc + 12",0,0,0,0
0,3,2147484396,1047531027,"li t3, 999",28,999,0,0
0,3,2147484400,8388719,"j pc + 0x8",0,0,0,0
0,3,2147484408,32871,"ret",0,0,0,0
0,3,2147483688,1048579731,"li t4, 1000",29,1000,0,0
0,3,2147483692,754974831,"j pc + 0x2d0",0,0,0,0
0,3,2147484412,111,"j pc + 0x0",0,0,0,0
0,3,2147484412,111,"",0,0,0,0
